species,psimd,se_psimd,slope,p50,p12,p88,se_slope,se_p50,se_p12,se_p88,HSM,se_HSM
ACPL,-2.4975,0.05394345032840722,60.298122562884174,-4.55597350837988,-3.8772893751386555,-5.270855908816404,1.034888261458042,0.0068085794482692,0.01554121723906907,0.011965042212424469,2.7733559088164044,0.05525448460060447
ACSA,-2.834375,0.2501584784150173,95.91528982119274,-4.221594005900113,-3.8743140226802737,-4.614290569700305,1.774028050393661,0.003892797516050184,0.008969687530548782,0.007477046502464546,1.779915569700305,0.2502701950838667
BEPA,-1.6629166666666666,0.17452925276137649,282.7736025099517,-2.2899161927254568,-2.1586745635126503,-2.4162904110267993,5.646620575013078,0.0015063159499106864,0.0032327708081308325,0.002932872472073243,0.7533737443601327,0.17455389371303603
BEPE,-1.30325,0.04574538911190942,262.1453057962141,-2.327972611366382,-2.1749155663562916,-2.467725558259131,4.764532091440274,0.0016229534414617605,0.0035547389890044326,0.0028284861398567788,1.164475558259131,0.04583274985033478
LADE,-1.9812500000000002,0.09447428552256962,64.48755916368034,-3.6272892777536963,-3.133726461573296,-4.04995081092844,1.5107654132170965,0.006594869569225982,0.014761098856774202,0.01101040709076424,1.646039277753696,0.09470418644196839
LALA,-2.012083333333333,0.04846650117463721,81.958189740325,-3.439258067698627,-3.0029264089780834,-3.84922597689158,2.140951479464503,0.006060718339109241,0.013756290009230501,0.011824192756297223,1.4271747343652939,0.048843976526252705
PIAB,-2.105,0.3144936406352281,45.893064941719274,-3.7696338350642598,-3.018413204627349,-4.531115592660418,1.375017053407019,0.011988617655660548,0.028957735944807852,0.024246597910931887,1.6646338350642598,0.3147220630227465
PIPU,-1.9575,0.04254287053471276,47.02492389331868,-4.037853737871058,-3.268585830613281,-4.837599596674277,0.9710291562133391,0.008863712840081433,0.02095601344482757,0.01671678155221596,2.0803537378710577,0.04345642919804566
PIST,-1.75875,0.05270174530633054,152.66032143525277,-2.9727111286712535,-2.69230021153834,-3.2620941557066807,3.8939942632317965,0.0038932683567903933,0.009331776270888274,0.007553643795985893,1.2139611286712535,0.05284535454352935
PISY,-1.836875,0.11620897013390721,89.95305029034974,-3.0950032704788377,-2.6098930225488486,-3.5685763670804875,1.2653096654527967,0.003846477716014136,0.00887437533454496,0.006598591148530445,1.2581282704788377,0.11627261126509171
QURO,-2.9987500000000002,0.0347966563288295,67.07,-4.74,-3.81,-5.66,14.09,0.09,0.2,0.09,2.66125,0.09649252453774163
QURU,-3.0745833333333334,0.09342838352033188,24.52,-4.43,-2.14,-6.72,4.08,0.25,0.48,0.29,3.6454166666666663,0.30467829402046714
